#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds
4	TCONS_00000720	chr1	-	209701799	209741018	209741018	209741018	7	209701799,209704591,209714042,209714652,209719401,209740254,209740879,	209702024,209704719,209714133,209714774,209719484,209740331,209741018,
4	TCONS_00000721	chr1	-	209701885	209720925	209720925	209720925	6	209701885,209714042,209714652,209716190,209719357,209720836,	209702024,209714133,209714774,209716263,209719484,209720925,
10	TCONS_l2_00001979	chr1	+	13629937	13635298	13635298	13635298	4	13629937,13632322,13633030,13634720,	13629979,13632634,13633609,13635298,
14	TCONS_l2_00001219	chr1	-	48226249	48260426	48260426	48260426	4	48226249,48240841,48244125,48260257,	48226952,48241111,48244216,48260426,
14	TCONS_l2_00001220	chr1	-	48226272	48462480	48462480	48462480	8	48226272,48230961,48240841,48244125,48260257,48267144,48459705,48462359,	48226952,48231778,48241111,48244216,48260432,48267291,48460269,48462480,
14	TCONS_l2_00002495	chr1	-	48231307	48267295	48267295	48267295	5	48231307,48240841,48244125,48260257,48267144,	48231778,48241111,48244216,48260432,48267295,
20	TCONS_00001039	chr1	+	95392853	95433017	95433017	95433017	4	95392853,95397427,95428534,95432793,	95393958,95397541,95428726,95433017,
20	TCONS_00001040	chr1	+	95392966	95429158	95429158	95429158	3	95392966,95397427,95428534,	95393958,95397541,95429158,
20	TCONS_00001042	chr1	+	95392966	95429158	95429158	95429158	4	95392966,95397427,95405384,95428534,	95393958,95397541,95405481,95429158,
20	TCONS_00001041	chr1	+	95392966	95429158	95429158	95429158	4	95392966,95397427,95426872,95428534,	95393958,95397541,95426989,95429158,
20	TCONS_00001043	chr1	+	95392980	95428803	95428803	95428803	3	95392980,95397427,95428549,	95393958,95397541,95428803,
20	TCONS_00001044	chr1	+	95393000	95428814	95428814	95428814	3	95393000,95426872,95428534,	95393958,95426989,95428814,
20	TCONS_00000249	chr1	+	95393121	95428826	95428826	95428826	4	95393121,95393906,95397427,95428534,	95393181,95393958,95397541,95428826,
20	TCONS_00000006	chr1	+	95393583	95428825	95428825	95428825	4	95393583,95397427,95426872,95428480,	95393958,95397541,95426989,95428825,
20	TCONS_00000255	chr1	+	96403456	96488422	96488422	96488422	2	96403456,96488088,	96403601,96488422,
20	TCONS_00000256	chr1	+	96455362	96488422	96488422	96488422	5	96455362,96457958,96461676,96471748,96488088,	96455479,96458065,96461750,96471977,96488422,
20	TCONS_00001053	chr1	+	96457551	96488437	96488437	96488437	4	96457551,96457958,96461676,96488088,	96457794,96458065,96461750,96488437,
20	TCONS_00002102	chr1	+	96457551	96488437	96488437	96488437	4	96457551,96457921,96461676,96488088,	96457792,96458065,96461750,96488437,
20	TCONS_00001054	chr1	+	96457569	96488432	96488432	96488432	5	96457569,96457958,96461676,96471748,96488088,	96457794,96458065,96461750,96471977,96488432,
20	TCONS_00000257	chr1	+	96457623	96488422	96488422	96488422	5	96457623,96457958,96461676,96471748,96488088,	96457678,96458065,96461750,96471977,96488422,
20	TCONS_00000258	chr1	+	96458020	96488436	96488436	96488436	3	96458020,96461676,96488088,	96458065,96461750,96488436,
20	TCONS_l2_00000435	chr1	+	98538886	98659112	98659112	98659112	2	98538886,98659064,	98539107,98659112,
21	TCONS_00000590	chr1	-	102665294	102855186	102855186	102855186	6	102665294,102775825,102852760,102852917,102854090,102855049,	102665553,102775884,102852807,102852977,102854185,102855186,
26	TCONS_l2_00002649	chr1	-	143647637	143663987	143663987	143663987	2	143647637,143663877,	143648030,143663987,
26	TCONS_l2_00002650	chr1	-	143647638	143744587	143744587	143744587	4	143647638,143653961,143662697,143744200,	143648030,143654070,143664196,143744587,
26	TCONS_l2_00002184	chr1	+	148876039	148902123	148902123	148902123	10	148876039,148876289,148881947,148882241,148888060,148888471,148889580,148890196,148891528,148902022,	148876090,148876406,148882049,148882346,148888225,148888598,148889690,148890249,148891741,148902123,
29	TCONS_00001191	chr1	+	168773291	168838565	168838565	168838565	2	168773291,168838214,	168773350,168838565,
31	TCONS_00000360	chr1	+	191844624	191980390	191980390	191980390	5	191844624,191933523,191934451,191945100,191978890,	191844830,191933619,191934543,191945241,191980390,
32	TCONS_00001767	chr1	-	196014056	196129619	196129619	196129619	2	196014056,196129499,	196014669,196129619,
34	TCONS_00000380	chr1	+	211809247	211816209	211816209	211816209	2	211809247,211816164,	211809787,211816209,
34	TCONS_00000389	chr1	+	213904758	213967930	213967930	213967930	2	213904758,213967726,	213904901,213967930,
35	TCONS_00001821	chr1	-	219150088	219164653	219164653	219164653	2	219150088,219164612,	219150251,219164653,
35	TCONS_l2_00002779	chr1	-	222262510	222560776	222560776	222560776	4	222262510,222391720,222558982,222560661,	222262907,222391831,222559034,222560776,
73	TCONS_l2_00002368	chr1	-	89294	237877	237877	237877	2	89294,236614,	90404,237877,
73	TCONS_l2_00000958	chr1	-	112759	168167	168167	168167	3	112759,165883,167963,	112804,165942,168167,
73	TCONS_l2_00002372	chr1	-	129080	133566	133566	133566	2	129080,133373,	129223,133566,
73	TCONS_l2_00002380	chr1	-	235855	267253	267253	267253	4	235855,238417,259016,267095,	237955,238567,259121,267253,
73	TCONS_00000122	chr1	+	523008	530148	530148	530148	2	523008,529614,	523081,530148,
73	TCONS_00000123	chr1	+	523047	529954	529954	529954	2	523047,529614,	523109,529954,
73	TCONS_l2_00002386	chr1	-	637315	655530	655530	655530	3	637315,639064,655411,	637720,639169,655530,
73	TCONS_l2_00002387	chr1	-	639064	655574	655574	655574	3	639064,647090,655411,	639169,647302,655574,
73	TCONS_l2_00002388	chr1	-	646721	655580	655580	655580	2	646721,655411,	647302,655580,
75	TCONS_00000138	chr1	+	2357418	2362089	2362089	2362089	2	2357418,2361776,	2357476,2362089,
76	TCONS_00000822	chr1	+	4036188	4069751	4069751	4069751	3	4036188,4036941,4069725,	4036255,4037162,4069751,
78	TCONS_00000077	chr1	-	5621768	5728315	5728315	5728315	3	5621768,5623229,5728200,	5622314,5623415,5728315,
86	TCONS_00000471	chr1	-	14548385	14549613	14549613	14549613	2	14548385,14549548,	14548602,14549613,
91	TCONS_00000855	chr1	+	19658089	19660931	19660931	19660931	2	19658089,19659262,	19658880,19660931,
92	TCONS_00000016	chr1	-	20686293	20755287	20755287	20755287	12	20686293,20688636,20700087,20703873,20704803,20705465,20724975,20725972,20727427,20732067,20732679,20755076,	20688534,20688887,20700231,20704002,20704925,20705519,20725280,20726042,20727480,20732187,20732762,20755287,
92	TCONS_00000078	chr1	-	20687597	20732187	20732187	20732187	4	20687597,20688636,20700087,20732067,	20688534,20688887,20700231,20732187,
97	TCONS_00000488	chr1	-	25370197	25439610	25439610	25439610	3	25370197,25430343,25439369,	25370327,25430462,25439610,
108	TCONS_l2_00001147	chr1	-	37568177	37618253	37618253	37618253	2	37568177,37618032,	37569479,37618253,
108	TCONS_l2_00001148	chr1	-	37611132	37618282	37618282	37618282	2	37611132,37618032,	37611501,37618282,
109	TCONS_l2_00002029	chr1	+	38512985	38571406	38571406	38571406	4	38512985,38568095,38569217,38571303,	38513286,38568168,38569333,38571406,
109	TCONS_l2_00000218	chr1	+	38513094	38571415	38571415	38571415	4	38513094,38568088,38569217,38571303,	38513286,38568168,38569333,38571415,
109	TCONS_l2_00002030	chr1	+	38513096	38584697	38584697	38584697	5	38513096,38568088,38569217,38571303,38584631,	38513286,38568168,38569333,38571424,38584697,
109	TCONS_00000895	chr1	+	38658715	38676024	38676024	38676024	3	38658715,38674942,38675674,	38658760,38675138,38676024,
117	TCONS_00000191	chr1	+	46921494	46948147	46948147	46948147	2	46921494,46947881,	46921582,46948147,
118	TCONS_l2_00002489	chr1	-	47308766	47366109	47366109	47366109	12	47308766,47310203,47311335,47325325,47333618,47338915,47348609,47348843,47351127,47352922,47364514,47365929,	47308850,47310286,47311400,47325459,47333809,47339019,47348764,47348968,47351255,47352967,47364656,47366109,
118	TCONS_00001488	chr1	-	47971931	47973315	47973315	47973315	2	47971931,47973267,	47972238,47973315,
119	TCONS_l2_00002497	chr1	-	48567386	48648100	48648100	48648100	10	48567386,48593579,48594131,48625220,48627470,48630302,48632144,48644826,48647382,48648041,	48567622,48593693,48594245,48625328,48627581,48630584,48632492,48644907,48647440,48648100,
119	TCONS_l2_00001223	chr1	-	48567406	48630327	48630327	48630327	6	48567406,48593579,48594131,48625220,48627470,48630302,	48567622,48593693,48594245,48625328,48627581,48630327,
119	TCONS_l2_00001224	chr1	-	48625150	48630589	48630589	48630589	3	48625150,48627470,48630302,	48625328,48627581,48630589,
122	TCONS_l2_00001233	chr1	-	52035311	52039739	52039739	52039739	2	52035311,52039625,	52035422,52039739,
129	TCONS_l2_00000308	chr1	+	59486105	59510386	59510386	59510386	4	59486105,59487159,59507843,59510165,	59486295,59487249,59507902,59510386,
129	TCONS_00000529	chr1	-	59598185	59664293	59664293	59664293	3	59598185,59598902,59663854,	59598418,59599002,59664293,
131	TCONS_00000531	chr1	-	61005920	61106163	61106163	61106163	8	61005920,61007968,61039009,61053708,61061209,61065798,61105682,61105943,	61006105,61008083,61039083,61053834,61062045,61065922,61105798,61106163,
131	TCONS_00001511	chr1	-	61053728	61088212	61088212	61088212	4	61053728,61061209,61065798,61088168,	61053834,61062045,61065922,61088212,
131	TCONS_00000081	chr1	-	61125302	61291256	61291256	61291256	6	61125302,61128656,61195246,61198118,61199135,61291007,	61127142,61128697,61195339,61198180,61199194,61291256,
138	TCONS_l2_00001282	chr1	-	68808087	68849925	68849925	68849925	2	68808087,68849884,	68808555,68849925,
139	TCONS_l2_00002068	chr1	+	69521580	69650686	69650686	69650686	5	69521580,69550862,69554197,69648452,69650468,	69521730,69550981,69554245,69648544,69650686,
143	TCONS_00000985	chr1	+	73771634	73813934	73813934	73813934	2	73771634,73813816,	73771957,73813934,
143	TCONS_00002067	chr1	+	73771820	73820918	73820918	73820918	3	73771820,73776535,73820755,	73771980,73776673,73820918,
143	TCONS_00002066	chr1	+	73771820	73813975	73813975	73813975	3	73771820,73776535,73813816,	73771980,73776673,73813975,
143	TCONS_00000046	chr1	+	73771852	73804559	73804559	73804559	4	73771852,73772850,73776535,73801128,	73771957,73773046,73776673,73804559,
143	TCONS_00000228	chr1	+	73771911	73813995	73813995	73813995	3	73771911,73776535,73813816,	73771957,73776673,73813995,
143	TCONS_00000229	chr1	+	73771916	73820934	73820934	73820934	3	73771916,73776535,73820755,	73771957,73776673,73820934,
148	TCONS_l2_00001295	chr1	-	79518695	79561296	79561296	79561296	2	79518695,79561167,	79522084,79561296,
149	TCONS_00001003	chr1	+	79736085	79870246	79870246	79870246	3	79736085,79775230,79869656,	79736371,79775405,79870246,
149	TCONS_00002077	chr1	+	79775370	79871942	79871942	79871942	3	79775370,79869656,79871918,	79775405,79869841,79871942,
150	TCONS_00000553	chr1	-	81000662	81050048	81050048	81050048	2	81000662,81049974,	81000937,81050048,
150	TCONS_00000239	chr1	+	81001439	81112473	81112473	81112473	3	81001439,81109909,81112247,	81001627,81110038,81112473,
150	TCONS_00000240	chr1	+	81001439	81112473	81112473	81112473	4	81001439,81006273,81109909,81112247,	81001627,81006321,81110038,81112473,
150	TCONS_00002080	chr1	+	81001444	81109980	81109980	81109980	2	81001444,81109909,	81001627,81109980,
151	TCONS_00000554	chr1	-	82680903	82726817	82726817	82726817	2	82680903,82726699,	82681456,82726817,
