LncRNA_ID	LncRNA_Name	ICLIP_EZH2_Raw_TagCount	ICLIP_EZH2_Norm_TagCount	Chrom	Strand	Start	End	Source	Length
AK092525		194887	208334.4023	chr6	+	4492040	4496003	predicted	2181
ENST00000423879	RP11-12M5.1	90146	96366.1662	chr1	+	179699351	179711832	Ensembl	544
AF318349		61617	65868.63602	chr6	+	33738989	33756782	predicted	4715
ENST00000506392	CTC-313D10.1	40880	43700.76181	chr5	+	113911737	113915667	Ensembl	751
ENST00000438080	RP11-177A2.4	37380	39959.25823	chr1	+	179070797	179074885	Ensembl	3897
AK123756		35469	37916.39728	chr9	+	68768632	68770701	RNAdb	2069
uc003qup.1	AK090688	28674	30652.53533	chr6	-	166193756	166399984	UCSC_kg	2044
ENST00000474149	RP11-520D19.1	27358	29245.72998	chr3	-	81257343	81258065	Ensembl	553
ENST00000447355	AC068492.3	26214	28022.79281	chr2	-	136956683	136958073	Ensembl	1390
NR_033142	TMEM48	25945	27735.23154	chr1	-	54231134	54304225	RefSeq_NR	4719
AK128800		22495	24047.17801	chr20	-	45377581	45379557	predicted	1976
uc001usr.2	CR592782	22116	23642.02662	chr13	-	30677365	30683005	UCSC_kg	2567
NR_002728	KCNQ1OT1	18158	19410.92057	chr11	-	2661767	2721228	RefSeq_NR	59461
NR_033412	SH3GL1P1	17083	18261.74447	chr17	+	30367354	30369851	RefSeq_NR	2497
ENST00000426771	AP001601.2	15744	16830.3521	chr21	+	28261694	28312061	Ensembl	361
NR_027995	LOC284232	14008	14974.56633	chr13	-	19408542	19446109	RefSeq_NR	37567
ENST00000401481	RP11-191A15.4	13522	14455.03183	chr6	+	25218915	25221299	Ensembl	1620
ENST00000503317	CTC-430J12.2	13521	14453.96283	chr5	+	173756614	173757506	Ensembl	558
AK124267		11209	11982.43246	chr3	-	112926241	112928309	predicted	2069
AJ249921		10856	11605.0751	chr19	+	45412631	45418224	NRED	5575
BC041340		10852	11600.7991	chr10	+	10121995	10125284	predicted	3308
ENST00000436962	AC007163.8	10266	10974.3645	chr2	+	202414353	202415030	Ensembl	677
